date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:52:50	120/120	---MCZ	200	added ('OK')	text/plain	date:Sat,%2013%20Jul%202024%2018:52:49%20GMT	./robots.txt		(from )
13:52:50	114256/114256	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202024%2018:52:50%20GMT	./	C:/Users/madha/Desktop/HAASLocal/HAAS%20AG/haas-advisory-group.local/index.html	(from )
13:52:51	43139/43139	---MCZ	200	added ('OK')	text/css	etag:W/%22668e0237-a883%22	./wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.7.2	C:/Users/madha/Desktop/HAASLocal/HAAS%20AG/haas-advisory-group.local/wp-content/themes/astra/assets/css/minified/main.mine100.css	(from ./)
13:52:51	5842/5842	---MC-	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202024%2018:52:50%20GMT	https://gmpg.org/xfn/11	C:/Users/madha/Desktop/HAASLocal/HAAS%20AG/gmpg.org/xfn/11.html	(from ./)
13:52:51	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jul%202024%2018:52:51%20GMT	http://fonts.googleapis.com/	C:/Users/madha/Desktop/HAASLocal/HAAS%20AG/fonts.googleapis.com/index.html	(from ./)
13:52:51	1903/1903	---MC-	200	added ('OK')	application/rss+xml	etag:%22663deb7140c94fa2ccb1920eeef5e859%22	./feed/	C:/Users/madha/Desktop/HAASLocal/HAAS%20AG/haas-advisory-group.local/feed/index.html	(from ./)
13:52:51	1651/1651	---MC-	200	added ('OK')	application/rss+xml	etag:%22663deb7140c94fa2ccb1920eeef5e859%22	./comments/feed/	C:/Users/madha/Desktop/HAASLocal/HAAS%20AG/haas-advisory-group.local/comments/feed/index.html	(from ./)
13:52:51	113381/113381	---MCZ	200	added ('OK')	text/css	etag:W/%2265ddf637-1bae5%22	./wp-includes/css/dist/block-library/style.min.css?ver=6.5.5	C:/Users/madha/Desktop/HAASLocal/HAAS%20AG/haas-advisory-group.local/wp-includes/css/dist/block-library/style.minadc6.css	(from ./)
13:52:51	430/430	---MCZ	200	added ('OK')	text/css	date:Sat,%2013%20Jul%202024%2018:52:51%20GMT	https://fonts.googleapis.com/css?family=Teko%3A300%2C400%2C&display=fallback&ver=4.7.2	C:/Users/madha/Desktop/HAASLocal/HAAS%20AG/fonts.googleapis.com/css0022.css	(from ./)
13:52:52	46863/46863	---MCZ	200	added ('OK')	text/css	etag:W/%22668e0a35-b70f%22	./wp-content/plugins/gutenbee/build/gutenbee.scripts.css?ver=2.17.4	C:/Users/madha/Desktop/HAASLocal/HAAS%20AG/haas-advisory-group.local/wp-content/plugins/gutenbee/build/gutenbee.scripts6f5d.css	(from ./)
